Unit,Terminal,IP,MAC,,Switch,Port,Power,Orion,Zabbix
120_A,T11154,10.209.25.51,70:85:c2:e9:50:27,,4,17,19.6,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55865&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:32867
120_A,t12633,10.209.25.67,70:85:c2:1c:28:31,,3,3,18.6,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55886&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:32868
120_B,T14643,10.209.25.77,70:85:c2:df:4a:1c,,4,18,19.3,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55884&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:32869
120_B,T14699,10.209.25.45,70:85:c2:df:4a:73,,9,9,19.6,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55867&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:32870
240_A,T14700,10.209.25.63,70:85:c2:df:49:e9,,12,5,18.7,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55885&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:32824
240_A,T14704,10.209.25.78,9c:6b:00:04:ea:26,,14,28,17.7,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=73536&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:38916
240_B,T14705,10.209.25.91,70:85:c2:df:49:5a,,14,30,18.8,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55885&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:32829
240_B,T14706,10.209.25.72,9c:6b:00:04:ec:bb,,14,32,17.5,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55878&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:32842
240_C,T14707,10.209.25.82,9c:6b:00:04:ed:16,,14,29,19.2,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55880&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:32838
240_C,T14724,10.209.25.46,70:85:c2:df:48:9f,,14,25,17.6,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55892&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:37839
