Include,Unit,Terminal,VNC,IP,MAC,Switch,Port,Power,Orion,Zabbix
No,120_A,T14735,Go,,70:85:c2:df:49:2d,1,2,,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55865&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:32867
No,120_A,T14729,Go,,9c:6b:00:04:ef:04,1,2,,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55886&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:32868
No,120_B,T14724,Go,,70:85:c2:df:48:9f,2,3,,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55867&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:32870
No,240_A,T20863,Go,,a8:a1:59:5d:a5:89,3,2,,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55885&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:32824
No,240_A,T14726,Go,,a8:a1:59:e5:f8:28,3,1,,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=73536&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:38916
No,240_B,T11154,Go,,70:85:c2:e9:50:27,4,2,,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55885&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:32829
No,240_B,T14738,Go,,9c:6b:00:04:e9:10,4,3,3,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55878&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:32842
No,240_C,T14730,Go,,70:85:c2:df:48:e4,5,6,,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55880&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:32838
No,240_C,T20888,Go,,a8:a1:59:5d:a7:e1,5,5,,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55892&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:37839
No,240_D,T26184,Go,,a8:a1:59:e5:fa:45,6,7,,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55882&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:32826
No,240_D,T14700,Go,,70:85:c2:df:49:e9,6,9,2,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55893&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:37838
No,60 Bed,t12633,Go,,70:85:c2:1c:28:31,7,4,,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=60903&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:32834
No,60 Bed,T14706,Go,,9c:6b:00:04:ec:bb,7,2,,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=112692&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:38917
No,80 Bed Lower,T17127,Go,,9c:6b:00:04:e7:da,8,6,,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55868&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:38918
No,80 Bed Lower,T14643,Go,,70:85:c2:df:4a:1c,8,5,,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=56775&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:38919
No,80 Bed Upper,T14704,Go,,9c:6b:00:04:ea:26,9,7,,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=114289&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:38916
No,80 Bed Upper,T14707,Go,,9c:6b:00:04:ed:16,9,8,,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=72146&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:38920
No,,,,,,,,,,
